B,q
-0.03460457647531112,5.203241895261845
-0.034283420313127255,5.196384039900249
-0.03396226415094339,5.1895261845386536
-0.03364110798875955,5.182668329177057
-0.03331995182657568,5.175810473815461
-0.03299879566439182,5.16209476309227
-0.03267763950220795,5.148379052369077
-0.032356483340024084,5.134663341645885
-0.032035327177840245,5.120947630922694
-0.03171417101565638,5.107231920199501
-0.03139301485347251,5.093516209476309
-0.031071858691288645,5.079800498753117
-0.03075070252910478,5.066084788029926
-0.030429546366920912,5.053615960099751
-0.030108390204737046,5.039900249376559
-0.02978723404255318,5.0274314214463836
-0.029466077880369312,5.011221945137157
-0.029144921718185446,4.983790523690773
-0.028823765556001607,4.956359102244389
-0.02850260939381774,4.928927680798005
-0.028181453231633874,4.902743142144638
-0.027860297069450007,4.875311720698255
-0.02753914090726617,4.84788029925187
-0.027217984745082302,4.821695760598504
-0.026896828582898435,4.79426433915212
-0.02657567242071457,4.766832917705736
-0.026254516258530702,4.740648379052369
-0.025933360096346864,4.714463840399002
-0.025612203934162997,4.687032418952619
-0.02529104777197913,4.662094763092269
-0.024969891609795264,4.635910224438902
-0.024648735447611397,4.610972568578553
-0.02432757928542756,4.584788029925187
-0.024006423123243692,4.55860349127182
-0.023685266961059825,4.532418952618453
-0.02336411079887596,4.506234413965087
-0.023042954636692092,4.4812967581047385
-0.022721798474508226,4.4551122194513715
-0.02240064231232436,4.4289276807980045
-0.022079486150140493,4.403990024937656
-0.021758329987956626,4.376558603491272
-0.021437173825772787,4.350374064837905
-0.02111601766358892,4.325436408977556
-0.020794861501405054,4.300498753117207
-0.020473705339221188,4.27431421446384
-0.02015254917703732,4.250623441396509
-0.019831393014853482,4.225685785536159
-0.019510236852669616,4.2007481296758105
-0.01918908069048575,4.175810473815462
-0.018867924528301883,4.15211970074813
-0.018546768366118016,4.125935162094763
-0.018225612203934177,4.100997506234414
-0.01790445604175031,4.076059850374065
-0.017583299879566444,4.052369077306733
-0.017262143717382578,4.027431421446384
-0.01694098755519871,4.003740648379052
-0.016619831393014872,3.977556109725686
-0.016298675230831006,3.953865336658354
-0.01597751906864714,3.9289276807980045
-0.015656362906463273,3.9052369077306732
-0.015335206744279406,3.881546134663342
-0.01501405058209554,3.8578553615960103
-0.014692894419911673,3.834164588528678
-0.014371738257727806,3.8104738154613464
-0.01405058209554394,3.7855361596009978
-0.013729425933360101,3.763092269326683
-0.013408269771176234,3.738154613466334
-0.013087113608992368,3.7144638403990022
-0.012765957446808501,3.690773067331671
-0.012444801284624635,3.667082294264339
-0.012123645122440796,3.6433915211970076
-0.01180248896025693,3.619700748129676
-0.011481332798073063,3.5972568578553616
-0.011160176635889196,3.574812967581048
-0.01083902047370533,3.5511221945137157
-0.010517864311521491,3.528678304239402
-0.010196708149337624,3.506234413965087
-0.009875551987153758,3.482543640897756
-0.009554395824969891,3.460099750623441
-0.009233239662786025,3.4376558603491274
-0.008912083500602186,3.4139650872817953
-0.00859092733841832,3.3915211970074814
-0.008269771176234453,3.3690773067331667
-0.007948615014050586,3.346633416458853
-0.00762745885186672,3.3241895261845387
-0.007306302689682853,3.300498753117207
-0.006985146527498987,3.2780548628428927
-0.00666399036531512,3.2556109725685785
-0.0063428342031312535,3.2331670822942646
-0.006021678040947415,3.2119700748129674
-0.005700521878763548,3.189526184538653
-0.0053793657165796815,3.1683291770573563
