epoch,mode,seed,theta,theta0,drift,PCI,G_debt,P_survive,survive,temptation_payoff,work_extracted,gross_advantage,net_work
0,aligned,100000,-0.4087312997076697,0.0004835969451103456,0.40921489665278005,0.6641714887554033,539.0,0.004561973335735096,0,80.85000000000021,246.40000000000214,327.25000000000233,321.86000000000234
1,aligned,100000,-0.6375108975164336,0.0004835969451103456,0.637994494461544,0.5283509730279838,676.0,0.0011592291739045914,0,101.40000000000099,481.59999999999843,582.9999999999994,576.2399999999994
2,aligned,100000,-0.4918049204844559,0.0004835969451103456,0.49228851742956625,0.6112259910382126,690.0,0.0010077854290485105,0,103.50000000000107,503.99999999999795,607.499999999999,600.599999999999
3,aligned,100000,0.2588393798265553,0.0004835969451103456,0.25835578288144495,0.7723204048413757,578.0,0.0030887154082367687,0,86.70000000000043,324.79999999999984,411.5000000000003,405.7200000000003
4,aligned,100000,0.2730196915039078,0.0004835969451103456,0.27253609455879746,0.7614459446237676,354.0,0.029013327082197053,0,53.099999999999675,433.599999999998,486.69999999999766,483.15999999999764
5,aligned,100000,-0.004772302005297269,0.0004835969451103456,0.005255898950407614,0.99475788911967,422.0,0.014698644504901784,0,63.29999999999958,324.8,388.09999999999957,383.87999999999954
6,aligned,100000,0.5481755713911239,0.0004835969451103456,0.5476919744460136,0.5782829631697582,437.0,0.012651240568005305,0,65.54999999999963,294.40000000000055,359.95000000000016,355.58000000000015
7,aligned,100000,0.948409562366523,0.0004835969451103456,0.9479259654214126,0.3875439700918185,279.0,0.06142121391500013,1,41.84999999999978,553.5999999999972,595.449999999997,592.659999999997
8,aligned,100000,0.9043520193785295,0.0004835969451103456,0.9038684224334191,0.40499991472409136,280.0,0.06081006262521797,0,41.99999999999978,551.9999999999974,593.9999999999972,591.1999999999972
9,aligned,100000,0.7175865864543802,0.0004835969451103456,0.7171029895092699,0.48816442690123313,302.0,0.04880121836201296,0,45.29999999999975,516.7999999999973,562.0999999999971,559.0799999999971
10,aligned,100000,0.49902208957502686,0.0004835969451103456,0.4985384926299165,0.6074177568335716,324.0,0.039163895098987066,0,48.59999999999972,481.5999999999973,530.199999999997,526.959999999997
11,aligned,100000,1.4291212799883493,0.0004835969451103456,1.428637683043239,0.23963515901491858,318.0,0.04158565512117316,0,47.699999999999726,491.19999999999845,538.8999999999982,535.7199999999982
12,aligned,100000,1.3877708611563182,0.0004835969451103456,1.387287264211208,0.24975189741846354,191.0,0.14808038659546247,0,28.649999999999906,694.3999999999972,723.0499999999971,721.1399999999971
13,aligned,100000,1.4462686181851216,0.0004835969451103456,1.4457850212400114,0.23556108349975727,180.0,0.16529888822158653,0,26.999999999999922,711.9999999999977,738.9999999999976,737.1999999999977
14,aligned,100000,0.5101107539528011,0.0004835969451103456,0.5096271570076908,0.6007195111239413,255.0,0.07808166600115317,0,38.249999999999815,591.9999999999967,630.2499999999965,627.6999999999965
15,aligned,100000,0.10926792865234763,0.0004835969451103456,0.1087843317072373,0.8969238346726719,384.0,0.021493601345089923,0,57.59999999999963,385.5999999999954,443.19999999999504,439.35999999999507
16,aligned,100000,-0.3073790740496903,0.0004835969451103456,0.30786267099480064,0.7350162501288918,495.0,0.0070834089290521185,0,74.24999999999996,212.80000000000206,287.050000000002,282.100000000002
17,aligned,100000,-0.797883249624048,0.0004835969451103456,0.7983668465691584,0.45006338680577584,604.0,0.0023815589136168707,0,90.60000000000058,366.39999999999895,456.99999999999955,450.9599999999995
18,aligned,100000,-0.9382808274862813,0.0004835969451103456,0.9387644244313916,0.3911107838665562,708.0,0.000841773148378549,0,106.20000000000117,532.7999999999973,638.9999999999985,631.9199999999985
19,aligned,100000,-0.7556139066883509,0.0004835969451103456,0.7560975036334613,0.46949505933681424,673.0,0.0011945329581411752,0,100.95000000000097,476.799999999997,577.749999999998,571.0199999999979
0,aligned,100001,0.27010313191445207,-0.15237390712566629,0.42247703904011835,0.6554213032563205,507.0,0.006282420140801118,0,76.05000000000003,193.60000000000153,269.65000000000157,264.5800000000016
1,aligned,100001,0.4724340676662286,-0.15237390712566629,0.6248079747918949,0.5353642220753534,473.0,0.008826471039726723,0,70.94999999999983,232.00000000000156,302.9500000000014,298.2200000000014
2,aligned,100001,0.22529067338371472,-0.15237390712566629,0.377664580509381,0.685460378882022,394.0,0.01944821474538539,0,59.09999999999962,369.59999999999843,428.69999999999806,424.75999999999806
3,aligned,100001,0.16000431765896161,-0.15237390712566629,0.3123782247846279,0.731704727022285,393.0,0.019643672553065292,0,58.94999999999962,371.19999999999834,430.14999999999793,426.2199999999979
4,aligned,100001,0.7038556513275225,-0.15237390712566629,0.8562295584531887,0.42476060188250203,424.0,0.01440759184311235,0,63.599999999999575,321.59999999999945,385.199999999999,380.959999999999
5,aligned,100001,0.8494582171532953,-0.15237390712566629,1.0018321242789616,0.36720605736531253,306.0,0.046887695219988486,0,45.89999999999974,510.3999999999969,556.2999999999967,553.2399999999967
6,aligned,100001,0.3863303492786469,-0.15237390712566629,0.5387042564043132,0.5835038341042795,329.0,0.03725384939621581,0,49.34999999999971,473.5999999999975,522.9499999999972,519.6599999999972
7,aligned,100001,0.5750703810684821,-0.15237390712566629,0.7274442881941483,0.4831421857606542,335.0,0.035084354100845025,0,50.2499999999997,463.99999999999807,514.2499999999977,510.8999999999977
8,aligned,100001,1.2421406029065025,-0.15237390712566629,1.3945145100321688,0.24795338603199576,296.0,0.05181891717272583,0,44.39999999999976,526.3999999999968,570.7999999999965,567.8399999999965
9,aligned,100001,1.1344426737590418,-0.15237390712566629,1.286816580884708,0.2761484816625008,243.0,0.08803683258237255,0,36.44999999999983,611.1999999999966,647.6499999999965,645.2199999999965
10,aligned,100001,1.2588251122018017,-0.15237390712566629,1.411199019327468,0.24385072606411637,205.0,0.12873490358780423,0,30.749999999999886,671.9999999999973,702.7499999999972,700.6999999999972
11,aligned,100001,1.5475092453427328,-0.15237390712566629,1.699883152468399,0.1827048714187536,173.0,0.17728440996987782,1,25.949999999999932,723.1999999999977,749.1499999999976,747.4199999999976
12,aligned,100001,1.325969418530422,-0.15237390712566629,1.4783433256560883,0.22801512245821484,209.0,0.12368713581745483,0,31.34999999999988,665.5999999999975,696.9499999999974,694.8599999999974
13,aligned,100001,1.1430647481542555,-0.15237390712566629,1.2954386552799217,0.2737777439347465,200.0,0.1353352832366127,0,29.999999999999893,679.9999999999975,709.9999999999974,707.9999999999974
14,aligned,100001,1.1834402726140132,-0.15237390712566629,1.3358141797396794,0.2629440045998583,267.0,0.069252225309346,1,40.0499999999998,572.799999999997,612.8499999999968,610.1799999999969
15,aligned,100001,0.9868293118941472,-0.15237390712566629,1.1392032190198136,0.3200739490770984,257.0,0.07653554542391151,0,38.54999999999981,588.799999999997,627.3499999999968,624.7799999999968
16,aligned,100001,0.8372408782057402,-0.15237390712566629,0.9896147853314066,0.37171985538667107,281.0,0.06020499239237354,0,42.14999999999978,550.3999999999967,592.5499999999964,589.7399999999965
17,aligned,100001,0.3746515001167768,-0.15237390712566629,0.5270254072424431,0.5903584363899942,396.0,0.019063114291611637,0,59.399999999999615,366.3999999999983,425.7999999999979,421.83999999999793
18,aligned,100001,0.14639693281860838,-0.15237390712566629,0.29877083994427467,0.741729364703336,403.0,0.01777432995365944,0,60.449999999999605,355.19999999999817,415.64999999999776,411.6199999999978
19,aligned,100001,0.6268883813610975,-0.15237390712566629,0.7792622884867637,0.45874430746464373,362.0,0.026782676492638175,0,54.29999999999966,420.7999999999982,475.09999999999786,471.47999999999786
0,aligned,100002,-0.9558784160745624,-0.11455254565537416,0.8413258704191882,0.4311385105077154,607.0,0.002311173210602129,0,91.0500000000006,371.19999999999857,462.24999999999915,456.17999999999915
1,aligned,100002,-1.0279868625085895,-0.11455254565537416,0.9134343168532153,0.4011441993845601,716.0,0.0007770545532175816,0,107.40000000000121,545.599999999997,652.9999999999982,645.8399999999982
2,aligned,100002,-0.6179127580100702,-0.11455254565537416,0.503360212354696,0.6044960082413126,748.0,0.0005642574155726738,0,112.2000000000014,596.7999999999975,708.9999999999989,701.5199999999988
3,aligned,100002,-0.4318757315542575,-0.11455254565537416,0.31732318589888336,0.7280954069285799,698.0,0.000930303203204949,0,104.70000000000111,516.7999999999977,621.4999999999987,614.5199999999987
4,aligned,100002,-0.8087193664725255,-0.11455254565537416,0.6941668208171513,0.4994904396996426,610.0,0.0022428677194858034,0,91.50000000000061,375.9999999999985,467.49999999999915,461.3999999999991
5,aligned,100002,-1.1419717062140666,-0.11455254565537416,1.0274191605586924,0.35792952820119034,726.0,0.0007031080356064829,0,108.90000000000127,561.599999999998,670.4999999999992,663.2399999999992
6,aligned,100002,-0.702359017422969,-0.11455254565537416,0.5878064717675948,0.5555445518503771,691.0,0.000997757796484312,0,103.65000000000107,505.59999999999707,609.2499999999982,602.3399999999982
7,aligned,100002,-0.7937128032179008,-0.11455254565537416,0.6791602575625266,0.5070425988285181,660.0,0.0013603680375478939,0,99.0000000000009,455.99999999999784,554.9999999999987,548.3999999999987
8,aligned,100002,-1.1518219862804793,-0.11455254565537416,1.037269440625105,0.3544211298253619,696.0,0.0009490965745408727,0,104.4000000000011,513.5999999999988,617.9999999999999,611.0399999999998
9,aligned,100002,-1.2614020955849754,-0.11455254565537416,1.1468495499296012,0.3176358907260088,749.0,0.0005586429604794611,0,112.3500000000014,598.3999999999975,710.7499999999989,703.2599999999989
10,aligned,100002,-1.1361947444814324,-0.11455254565537416,1.0216421988260582,0.36000325754887064,732.0,0.0006621622112122764,0,109.8000000000013,571.199999999997,680.9999999999983,673.6799999999982
11,aligned,100002,-1.2234697175547575,-0.11455254565537416,1.1089171718993833,0.32991601005549875,776.0,0.00042645658068565383,0,116.40000000000155,641.599999999997,757.9999999999985,750.2399999999985
12,aligned,100002,-1.540750126906071,-0.11455254565537416,1.4261975812506968,0.2402206071820635,775.0,0.00043074254057568753,0,116.25000000000155,639.9999999999978,756.2499999999994,748.4999999999994
13,aligned,100002,-1.631016813055927,-0.11455254565537416,1.5164642674005528,0.21948656241640052,858.0,0.00018782497740635362,0,128.700000000002,772.7999999999981,901.5000000000001,892.9200000000001
14,aligned,100002,-1.4592926394202874,-0.11455254565537416,1.3447400937649132,0.26060743255519014,818.0,0.000280201940128712,0,122.7000000000018,708.7999999999975,831.4999999999992,823.3199999999993
15,aligned,100002,-1.2753606936773523,-0.11455254565537416,1.160808148021978,0.3132329399874545,808.0,0.0003096710354186262,0,121.20000000000174,692.7999999999976,813.9999999999993,805.9199999999993
16,aligned,100002,-0.6225098469198698,-0.11455254565537416,0.5079573012644956,0.6017234640446295,751.0,0.0005475810887141261,0,112.65000000000141,601.599999999997,714.2499999999984,706.7399999999984
17,aligned,100002,-1.47814918795203,-0.11455254565537416,1.363596642296656,0.2557393180196802,724.0,0.0007173117601093135,0,108.60000000000126,558.3999999999974,666.9999999999986,659.7599999999986
18,aligned,100002,-2.2569943202080496,-0.11455254565537416,2.1424417745526756,0.1173679068793407,858.0,0.00018782497740635362,0,128.700000000002,772.7999999999979,901.4999999999999,892.9199999999998
19,aligned,100002,-2.374365747638265,-0.11455254565537416,2.259813201982891,0.1043699790390917,901.0,0.0001221818560190345,0,135.15000000000225,841.5999999999987,976.7500000000009,967.7400000000009
0,aligned,100003,-0.5879823570932355,0.027573715179755383,0.6155560722729909,0.540340343469807,507.0,0.006282420140801118,0,76.05000000000003,160.00000000000176,236.05000000000177,230.98000000000178
1,aligned,100003,-0.06693210398860558,0.027573715179755383,0.09450581916836095,0.9098224402006673,608.0,0.0022881766529221693,0,91.2000000000006,372.7999999999973,463.9999999999979,457.9199999999979
2,aligned,100003,0.1101430334612448,0.027573715179755383,0.08256931828148942,0.920747611002566,517.0,0.005684568819219595,0,77.55000000000008,204.80000000000146,282.35000000000156,277.18000000000154
3,aligned,100003,0.30420963777795074,0.027573715179755383,0.27663592259819536,0.7583305378692946,516.0,0.005741699685654202,0,77.40000000000008,227.20000000000172,304.6000000000018,299.44000000000176
4,aligned,100003,-0.026452474397044012,0.027573715179755383,0.054026189576799395,0.947407293980799,409.0,0.016739233558580632,0,61.349999999999596,345.59999999999945,406.949999999999,402.85999999999905
5,aligned,100003,0.11530546391882618,0.027573715179755383,0.0877317487390708,0.9160065636846616,536.0,0.004700906107583276,0,80.40000000000019,214.40000000000123,294.80000000000143,289.4400000000014
